,Artist,Track,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Genre,Genre ID,Spotify ID
2083,Dimitri Vegas & Like Mike,Say My Name,spotify:track:3GYlQmwfBDo7imFyGPhrl7,0.729,0.788,10,-4.832,0,0.0908,0.0703,0,0.115,0.857,118.039,audio_features,3GYlQmwfBDo7imFyGPhrl7,spotify:track:3GYlQmwfBDo7imFyGPhrl7,https://api.spotify.com/v1/tracks/3GYlQmwfBDo7imFyGPhrl7,https://api.spotify.com/v1/audio-analysis/3GYlQmwfBDo7imFyGPhrl7,159536,4,,,
2084,Regard,Signals,spotify:track:3Zs7UPRJeoy3uycdPHVfwv,0.741,0.76,5,-5.359,0,0.0447,0.415,4.27e-06,0.095,0.588,120.01,audio_features,3Zs7UPRJeoy3uycdPHVfwv,spotify:track:3Zs7UPRJeoy3uycdPHVfwv,https://api.spotify.com/v1/tracks/3Zs7UPRJeoy3uycdPHVfwv,https://api.spotify.com/v1/audio-analysis/3Zs7UPRJeoy3uycdPHVfwv,167999,4,Dance/Electronica,g.71,4ofCBoyEiGSePFAG500xev
2085,Regard,Ride It - Jonas Blue Remix,spotify:track:2ONRkpOJ6X91GMXMthtT0M,0.689,0.946,7,-3.814,0,0.0397,0.00658,0.00189,0.262,0.392,125.037,audio_features,2ONRkpOJ6X91GMXMthtT0M,spotify:track:2ONRkpOJ6X91GMXMthtT0M,https://api.spotify.com/v1/tracks/2ONRkpOJ6X91GMXMthtT0M,https://api.spotify.com/v1/audio-analysis/2ONRkpOJ6X91GMXMthtT0M,182400,4,Dance/Electronica,g.71,4ofCBoyEiGSePFAG500xev
2086,Regard,No Love For You,spotify:track:2hXevSk7W1jBAO34M8XHdW,0.762,0.771,9,-5.471,0,0.0847,0.275,0.00335,0.244,0.392,123.933,audio_features,2hXevSk7W1jBAO34M8XHdW,spotify:track:2hXevSk7W1jBAO34M8XHdW,https://api.spotify.com/v1/tracks/2hXevSk7W1jBAO34M8XHdW,https://api.spotify.com/v1/audio-analysis/2hXevSk7W1jBAO34M8XHdW,178414,4,Dance/Electronica,g.71,4ofCBoyEiGSePFAG500xev
2087,Regard,Hallucination - Navos Remix,spotify:track:5VrfQqPD5hymxVQzd5pkkw,0.651,0.812,6,-8.021,0,0.0506,0.0749,6.28e-06,0.1,0.56,124.969,audio_features,5VrfQqPD5hymxVQzd5pkkw,spotify:track:5VrfQqPD5hymxVQzd5pkkw,https://api.spotify.com/v1/tracks/5VrfQqPD5hymxVQzd5pkkw,https://api.spotify.com/v1/audio-analysis/5VrfQqPD5hymxVQzd5pkkw,150040,4,Dance/Electronica,g.71,4ofCBoyEiGSePFAG500xev
2088,NEIKED,Better Days - Regard Remix,spotify:track:7Edhy8323TjVAwvtoqujQu,0.765,0.676,0,-4.169,0,0.0444,0.0394,0,0.105,0.561,120.036,audio_features,7Edhy8323TjVAwvtoqujQu,spotify:track:7Edhy8323TjVAwvtoqujQu,https://api.spotify.com/v1/tracks/7Edhy8323TjVAwvtoqujQu,https://api.spotify.com/v1/audio-analysis/7Edhy8323TjVAwvtoqujQu,166076,4,,,
2089,Bad Bunny,Me Porto Bonito,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,audio_features,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567,4,Latin,g.510,4q3ewBCX7sLwd24euuV69X
2090,Bad Bunny,Tití Me Preguntó,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,audio_features,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717,4,Latin,g.510,4q3ewBCX7sLwd24euuV69X
2091,Bad Bunny,Efecto,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,audio_features,5Eax0qFko2dh7Rl2lYs3bx,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,https://api.spotify.com/v1/tracks/5Eax0qFko2dh7Rl2lYs3bx,https://api.spotify.com/v1/audio-analysis/5Eax0qFko2dh7Rl2lYs3bx,213061,4,Latin,g.510,4q3ewBCX7sLwd24euuV69X
2092,Bad Bunny,Ojitos Lindos,spotify:track:3k3NWokhRRkEPhCzPmV8TW,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,audio_features,3k3NWokhRRkEPhCzPmV8TW,spotify:track:3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW,258299,4,Latin,g.510,4q3ewBCX7sLwd24euuV69X
2093,Bad Bunny,Neverita,spotify:track:31i56LZnwE6uSu3exoHjtB,0.876,0.498,10,-7.511,1,0.0478,0.0706,0,0.143,0.428,122.016,audio_features,31i56LZnwE6uSu3exoHjtB,spotify:track:31i56LZnwE6uSu3exoHjtB,https://api.spotify.com/v1/tracks/31i56LZnwE6uSu3exoHjtB,https://api.spotify.com/v1/audio-analysis/31i56LZnwE6uSu3exoHjtB,173119,4,Latin,g.510,4q3ewBCX7sLwd24euuV69X
2094,Bad Bunny,Moscow Mule,spotify:track:6Xom58OOXk2SoU711L2IXO,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,audio_features,6Xom58OOXk2SoU711L2IXO,spotify:track:6Xom58OOXk2SoU711L2IXO,https://api.spotify.com/v1/tracks/6Xom58OOXk2SoU711L2IXO,https://api.spotify.com/v1/audio-analysis/6Xom58OOXk2SoU711L2IXO,245940,4,Latin,g.510,4q3ewBCX7sLwd24euuV69X
2095,Bad Bunny,Tarot,spotify:track:41oY4WCTj5kccfesTVFnvN,0.795,0.684,11,-3.971,0,0.0419,0.0225,0,0.658,0.419,114.011,audio_features,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,https://api.spotify.com/v1/tracks/41oY4WCTj5kccfesTVFnvN,https://api.spotify.com/v1/audio-analysis/41oY4WCTj5kccfesTVFnvN,237895,4,Latin,g.510,4q3ewBCX7sLwd24euuV69X
2096,J Balvin,LA CANCIÓN,spotify:track:0fea68AdmYNygeTGI4RC18,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,audio_features,0fea68AdmYNygeTGI4RC18,spotify:track:0fea68AdmYNygeTGI4RC18,https://api.spotify.com/v1/tracks/0fea68AdmYNygeTGI4RC18,https://api.spotify.com/v1/audio-analysis/0fea68AdmYNygeTGI4RC18,242573,4,Latin,g.510,1vyhD5VmyZ7KMfW5gqLgo5
2097,Bad Bunny,Party,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,audio_features,4tYFy8ALRjIZvnvSLw5lxN,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,https://api.spotify.com/v1/tracks/4tYFy8ALRjIZvnvSLw5lxN,https://api.spotify.com/v1/audio-analysis/4tYFy8ALRjIZvnvSLw5lxN,227629,4,Latin,g.510,4q3ewBCX7sLwd24euuV69X
2098,Bad Bunny,La Corriente,spotify:track:1797zYiX4cKosMH836X9Gt,0.663,0.786,11,-3.51,0,0.195,0.229,0,0.219,0.579,196.12,audio_features,1797zYiX4cKosMH836X9Gt,spotify:track:1797zYiX4cKosMH836X9Gt,https://api.spotify.com/v1/tracks/1797zYiX4cKosMH836X9Gt,https://api.spotify.com/v1/audio-analysis/1797zYiX4cKosMH836X9Gt,198367,4,Latin,g.510,4q3ewBCX7sLwd24euuV69X
2099,Becky G,MAMIII,spotify:track:7FlQk2gJ6TBrHHiidvdR2O,0.836,0.703,4,-3.554,0,0.0657,0.0845,0,0.138,0.902,94.048,audio_features,7FlQk2gJ6TBrHHiidvdR2O,spotify:track:7FlQk2gJ6TBrHHiidvdR2O,https://api.spotify.com/v1/tracks/7FlQk2gJ6TBrHHiidvdR2O,https://api.spotify.com/v1/audio-analysis/7FlQk2gJ6TBrHHiidvdR2O,226093,4,Latin,g.510,4obzFoKoKRHIphyHzJ35G3
2100,TINI,La Loto,spotify:track:3AbNNvo2OmyeDMvRBgf9vk,0.855,0.83,1,-2.815,1,0.106,0.0783,1.31e-06,0.08,0.775,90.009,audio_features,3AbNNvo2OmyeDMvRBgf9vk,spotify:track:3AbNNvo2OmyeDMvRBgf9vk,https://api.spotify.com/v1/tracks/3AbNNvo2OmyeDMvRBgf9vk,https://api.spotify.com/v1/audio-analysis/3AbNNvo2OmyeDMvRBgf9vk,190667,4,,,
2101,Becky G,Shower,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,audio_features,3DmW6y7wTEYHJZlLo1r6XJ,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,https://api.spotify.com/v1/tracks/3DmW6y7wTEYHJZlLo1r6XJ,https://api.spotify.com/v1/audio-analysis/3DmW6y7wTEYHJZlLo1r6XJ,206167,4,Latin,g.510,4obzFoKoKRHIphyHzJ35G3
2102,Marca MP,Ya acabó - Con Becky G,spotify:track:0OPiOIAyw2FUjKm8PXBGhq,0.612,0.44,0,-5.894,1,0.034,0.762,2.56e-06,0.0858,0.683,133.872,audio_features,0OPiOIAyw2FUjKm8PXBGhq,spotify:track:0OPiOIAyw2FUjKm8PXBGhq,https://api.spotify.com/v1/tracks/0OPiOIAyw2FUjKm8PXBGhq,https://api.spotify.com/v1/audio-analysis/0OPiOIAyw2FUjKm8PXBGhq,176459,4,,,
2103,Becky G,Mayores,spotify:track:2AY1UAimvTqjJC8vDJsOyy,0.745,0.836,5,-4.336,0,0.0444,0.145,0.00314,0.116,0.874,96.993,audio_features,2AY1UAimvTqjJC8vDJsOyy,spotify:track:2AY1UAimvTqjJC8vDJsOyy,https://api.spotify.com/v1/tracks/2AY1UAimvTqjJC8vDJsOyy,https://api.spotify.com/v1/audio-analysis/2AY1UAimvTqjJC8vDJsOyy,203187,4,Latin,g.510,4obzFoKoKRHIphyHzJ35G3
2104,Becky G,AMANTES,spotify:track:3Q7o2zzvXj7QiSCumjBpvu,0.736,0.77,10,-6.477,0,0.0335,0.109,0,0.112,0.837,135.018,audio_features,3Q7o2zzvXj7QiSCumjBpvu,spotify:track:3Q7o2zzvXj7QiSCumjBpvu,https://api.spotify.com/v1/tracks/3Q7o2zzvXj7QiSCumjBpvu,https://api.spotify.com/v1/audio-analysis/3Q7o2zzvXj7QiSCumjBpvu,209516,4,Latin,g.510,4obzFoKoKRHIphyHzJ35G3
